player_id,search_full_name,full_name,position,team
6462,ellisrichardson,Ellis Richardson,TE,
7926,carltucker,Carl Tucker,TE,
1408,leveonbell,Le'Veon Bell,RB,TB
8074,mattseybert,Matt Seybert,TE,
11533,brandonaubrey,Brandon Aubrey,K,DAL
2881,tylerslavin,Tyler Slavin,WR,
1284,lancedunbar,Lance Dunbar,RB,
2801,deandrewwhite,DeAndrew White,WR,
1073,taylorthompson,Taylor Thompson,TE,
7918,ajrose,A.J. Rose,RB,
5428,rickyjeune,Ricky Jeune,WR,
11522,jeromekapp,Jerome Kapp,WR,
2474,nickboyle,Nick Boyle,TE,
8809,aaronshampklin,Aaron Shampklin,RB,
9487,parkerwashington,Parker Washington,WR,JAX
1907,johnnymanziel,Johnny Manziel,QB,
3342,jakeemgrant,Jakeem Grant,WR,
1684,jaronbrown,Jaron Brown,WR,
6918,salvonahmed,Salvon Ahmed,RB,
6137,tommysweeney,Tommy Sweeney,TE,
3561,brycewilliams,Bryce Williams,TE,
832,ryanwhalen,Ryan Whalen,WR,
6786,ceedeelamb,CeeDee Lamb,WR,DAL
5038,michaelgallup,Michael Gallup,WR,
11584,buckyirving,Bucky Irving,RB,TB
1195,dougmartin,Doug Martin,RB,
2023,deanthonythomas,De'Anthony Thomas,WR,
11649,kendallmilton,Kendall Milton,RB,CIN
6783,jerryjeudy,Jerry Jeudy,WR,CLE
221,brentcelek,Brent Celek,TE,
387,knowshonmoreno,Knowshon Moreno,RB,
8432,playerinvalid,Player Invalid,TE,
11616,jacobcowing,Jacob Cowing,WR,SF
5965,milesboykin,Miles Boykin,WR,NYG
2125,andrewpeacock,Andrew Peacock,WR,
4992,dantepettis,Dante Pettis,WR,CHI
3620,bralonaddison,Bralon Addison,WR,
11155,christiansims,Christian Sims,TE,
9504,kayshonboutte,Kayshon Boutte,WR,NE
4828,rasharddavis,Rashard Davis,WR,
1914,driarcher,Dri Archer,RB,
4396,drewmorgan,Drew Morgan,WR,
4038,johnross,John Ross,WR,
914,leonardhankerson,Leonard Hankerson,WR,
11439,jaleelmclaughlin,Jaleel McLaughlin,RB,DEN
11282,johnnyking,Johnny King,WR,
3730,tevinjones,Tevin Jones,WR,
1609,chrispantale,Chris Pantale,TE,
5718,ryanyurachek,Ryan Yurachek,TE,
3916,davidwatford,David Watford,WR,
5530,evanberry,Evan Berry,WR,
11445,taylorgrimes,Taylor Grimes,WR,
5619,dalyndawkins,Dalyn Dawkins,RB,
5122,bostonscott,Boston Scott,RB,PIT
5396,sergiobaileyii,Sergio Bailey II,WR,
11629,devontezwalker,Devontez Walker,WR,BAL
355,brianleonard,Brian Leonard,RB,
506,davidnelson,David Nelson,WR,
737,mickeyshuler,Mickey Shuler,TE,
1749,jakestoneburner,Jake Stoneburner,TE,
2320,melvingordon,Melvin Gordon,RB,
1895,ajmccarron,AJ McCarron,QB,
11906,tyjames,Ty James,WR,
2496,malcolmjohnson,Malcolm Johnson,RB,
287,bradsmith,Brad Smith,WR,
7258,lukesellers,Luke Sellers,RB,
12028,tamerikwilliams,TaMerik Williams,RB,
521,jeffcumberland,Jeff Cumberland,TE,
